author,year,category,sub_category_I,sub_category_II,task,sub_task,title,journal,ml_type,neuralNetwork_type,neuralNetwork_name,hiddenLayers,training_process,inputs,outputs,data_domain,data_type,data_size,performance_metrice,performance_score,baseline,notes
Liu,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Random_Noise,Poststack Seismic Data Denoising Based on 3-D Convolutional Neural Network,IEEE-TGRS,['ANN'],['CNN'],[],"[3, 3, 3, 3, 3, 3, 3]",['Supervised_Learning'],['3D poststack'],['3D poststack'],['time'],['synthetic'],[],[],[],[],  * 3D * random-noise * end-to-end * designed an end-to-end 3-D denoising convolutional neural network (3-D-DnCNN) that takes raw 3-D cubes as input in order to better extract the features of the 3-D spatial structure of poststack seismic data. 
Saad,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Random_Noise,Deep denoising autoencoder for seismic random noise attenuation,Geophysics,['ANN'],['FC'],['Autoencoder'],"[512, 256, 128, 128, 256, 512]",['Supervised_Learning'],['waveform'],['waveform'],['time'],['field'],[],[],[],"['f-x deconvolution', 'f-x singular spectrum analysis']", @@  * random-noise  * an old-fashion typical autoencoder - synthetic data look very artificial.
Viens,2020,Data Processing Automation,Passive Seismology,Seismic Image Processing,['Seismic Denoising'],Coherent_Noise,Denoising ambient seismic field correlation functions with convolutional autoencoders,GJI,['ANN'],['CNN'],['Autoencoder'],"[130, 40, 40, 40, 40]","['Unsupervised_Learning', 'Self-Supervised_Learning']",['seismic data'],['seismic data'],['time'],['field'],[26136],[],[],['SVD'], @@  * to denoise correlation functions of ambient seismic field. Applied on velocity change measurement
Wang,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,Attribute-Based Double Constraint Denoising Network for Seismic Data,IEEE-TGRS,['ANN'],['CNN'],['GAN'],"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",['Supervised_Learning'],['noisy data'],['the attribute vectors of noise-free data'],['attribute'],['semi-synthetic'],[30000],"['SNR', 'MSE']",[],"['f-x deconvolution', 'f-x singular spectrum analysis']"," * end-to-end * this article proposes an attribute based denoising algorithm for seismic data called attribute-based double constraint denoising network (Att-DCDN). This method applies encoder–decoder and attribute classifier to constitute the generative adversarial network (GAN) and attenuates seismic noise by controlling with/without target attributes (noise attribute and signal attribute). Compared with the noise-free field seismic data, attribute vectors of the field data are easier to obtain. Therefore, our training set includes not only the synthetic seismic data but also the field seismic data, so as to reduce accuracy requirement of the synthetic noise-free data."
Yang,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Random_Noise,Random Noise Attenuation Based on Residual Convolutional Neural Network in Seismic Datasets,IEEE Access,['ANN'],['CNN'],['DnCNN'],"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",['Supervised_Learning'],['patch'],['patch'],['time'],[],[400],"['peak signal-to-noise ratio (PSNR)', 'structural selection similarity index measurement (SSIM)']",[],"['BM3D', 'NLM', 'DnCNN']",  * end-to-end * use the deep convolutional neural network as the basic framework to separate noise from noisy data and extract the characteristics of effective information
Zhong,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Random_Noise,Seismic Random Noise Suppression by Using Plug-And-Play Residual U-Net,IEEE-GRSL-XX,['ANN'],['CNN'],['U-Net'],"[64, 128, 256, 512, 1024, 1024, 512, 256, 128, 64]",['Supervised_Learning'],['2D wavefroms'],['2D waveforms'],['time'],['synthetic'],[8700],[],"['SNR', 'RMSE']","['WT', 'band-pass filter', 'DnCNN', 'U-Net']","to thoroughly attenuate random noise, a plug-and-play residual U-Net (PRUN) is proposed, which adopts the strategy of residual-scaling operation and combine it with U-Net structure."
Gao,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Random_Noise,Seismic noise attenuation by signal reconstruction: an unsupervised machine learning approach,Geophysical Prospecting,['ANN'],['CNN'],['Autoencoder'],"['?', '?', '?', '?']",['Unsupervised_Learning'],['waveform'],['waveform'],['time'],[],[],[],[],[]," * random-noise * Firstly,we randomly mute a part of the input data of the neural network according to a certain percentage, and then the network outputs the reconstructed data influenced by this randomly mute. The objetive function measures the distance between the input data and the reconstructed data. Secondly, we use the adaptive moment estimation algorithm to minimize the distance, and the network adjusts its internal parameters so that sparse representations can be captured by the multiple processing layers of the neural network. Finally, we take the same proportion of random mute on the raw seismic data which are fed to the trained neural network. Through this network, reconstruction of seismic data and attenuation of random noise are completed simultaneously "
Li,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Random_Noise,Deep learning for simultaneous seismic image super-resolution and denoising,IEEE-TGRS,['ANN'],['CNN'],['U-Net'],"[64, 64, 128, 128, 256, 256, 512, 512, 1024, 1024, 1024, 512, 512, 256, 256, 128, 128, 64, 64]",['Supervised_Learning'],['2D high resolution pure seismic images'],['2D high resolution pure seismic images'],['time'],['synthetic'],[1200],['SNR'],[],"['f-x filtering', 'AGRA', 'S transform']", * end-to-end * random-noise * 
Qiu,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Random_Noise,Deep Learning Prior Model for Unsupervised Seismic Data Random Noise Attenuation,IEEE-GRSL,['ANN'],['CNN'],['Autoencoder'],"[8, 16, 32, 64, 128, 128, 64, 32, 16, 8]",['Unsupervised_Learning'],[],[],[],['synthetic'],[992],[],[],"['f-x multi-channel singular spectrum analysis (MSSA)', 'unsupervised neural network (NN)-based method']"," * random-noise * The untrained ConvNets are served as a generative network to a single seismic data profile with Gaussian noise. Starting with random initialized parameters, the generative networks with various handcrafted architectures have different ability to map the seismic data at iterations and can separate the Gaussian noise as residuals."
Saad,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Random_Noise,PATCHUNET: A fully-unsupervised and highly-generalized deep learning approach for random noise suppression,Geophysical Prospecting,['ANN'],['FC'],['U-Net'],"[128, 64, 32, 16, 8, 8, 8, 8, 16, 32, 64, 128]",['Unsupervised_Learning'],['2D Patches'],['2D Patches'],['time'],['field'],[],[],[],"['f-x deconvolution', 'f-x singular spectrum analysis']","  * random-noise * The input data are divided into several patches, and each patch is encoded to extract the meaningful features. Following this, the extracted features are decompressed to retrieve the seismic signal"
Sang,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,DCNNs-Based Denoising With a Novel Data Generation for Multidimensional Geological Structures Learning,IEEE-GRSL,['ANN'],['CNN'],['DnCNN'],"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",['Supervised_Learning'],[],[],['time-frequency'],['synthetic'],[248832],[],[],['Wiener filter'],"  * end-to-end * 3D * investigate an end-to-end deep denoising CNNs (DCNNs) with a novel data generation for seismic denoising. Along three directions (i.e., two spatial directions and one time direction) of various 3-D synthetic seismic data sets, a large amount of training data are generated to enable that DCNNs can learn diverse geological structure properties from three different aspects. Compared with all training samples from a certain single direction, a combination of plentiful samples including multidimensional geological structures makes DCNNs have a better performance on noise attenuation. "
Tian,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,Improved Anomalous Amplitude Attenuation Method Based on Deep Neural Networks,IEEE-TGRS,['ANN'],['CNN'],"['VGG', 'DnCNN']","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",['Supervised_Learning'],['2D seismic image'],['binary map of noisey and clean regions'],[],[],[4000],[],[],[],"  * combined DL with traditional method * anomalous amplitude noise with high energy * propose an improved anomalous amplitude attenuation (IAAA) method based on deep neural networks. The IAAA method contains two steps. In the first step, deep neural networks are used to detect the locations and the widths of noise regions. In the second step, the noise information (locations and widths) obtained at the previous step is exploited to apply the AAA method with more appropriate parameters to each noisy region. Compared with the conventional AAA method, the IAAA method can suppress the noise more effectively and preserve signals better."
Yang,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Random_Noise,Deep Learning Seismic Random Noise Attenuation via Improved Residual Convolutional Neural Network,IEEE-TGRS,['ANN'],['CNN'],[],"[64, 64, 64, 64, 64, 64]","['Supervised_Learning', 'Transfer_Learning']",[],[],['time'],['synthetic'],[],[],[],[]," * end-to-end * they discribe their method as an unsupervised approach however they do use tha labeled data for the training thus it is a supervised method,   "
Zhong,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Random_Noise,Seismic random noise suppression by using deep residual U-Net,Journal of Petroleum Science and Engineering,['ANN'],['CNN'],['U-Net'],"[64, 128, 256, 512, 1024, 1024, 512, 256, 128, 64]",['Supervised_Learning'],[],[],['time'],['synthetic'],[],[],[],[], *$* 
Liu,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Random_Noise,Unsupervised Deep Learning for Random Noise Attenuation of Seismic Data,IEEE-GRSL,['ANN'],['CNN'],['U-Net'],"[48, 48, 48, 48, 48, 96, 96, 96, 96]",['Unsupervised_Learning'],[],[],['time'],['synthetic'],[],"['SNR', 'MSSA']",[],[], *$* The method is based on two salient features of seismic data: 1) valid signals of adjacent seismic traces that are spatially correlated and 2) random noise that is spatially independent and unpredictable.
Yuan,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,Attenuation of linear noise based on denoising convolutional neural network with asymmetric convolution blocks,Exploration Geophysics,['ANN'],['CNN'],['U-Net'],"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",['Supervised_Learning'],[],[],['time'],['synthetic'],[500],[],[],[], *$* use a method that combines a feed forward denoising convolutional neural network (DnCNN) with asymmetric convolution blocks (ACB) to attenuate linear noise in seismic data
Jiang,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,A Convolutional Autoencoder Method for Simultaneous Seismic Data Reconstruction and Denoising,IEEE-GRSL,['ANN'],['CNN'],['CAE'],"[32, 64, 64, 128, 128, 64, 64]",['Unsupervised_Learning'],[],[],['time'],['synthetic'],[],[],[],[], *$* 
Li,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,A Deep Learning Method for Denoising Based on a Fast and Flexible Convolutional Neural Network,IEEE-TGRS,['ANN'],['CNN'],[],"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",['Supervised_Learning'],[],[],['time'],['synthetic'],[],[],[],[], *$* 
Gao,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,Research on Deep Convolutional Neural Network Time-Frequency Domain Seismic Signal Denoising Combined With Residual Dense Blocks,Frontiers in Earth Science,['ANN'],"['CNN', 'FC']",[],"[32, 32, 32, 32, 32, 32]",['Supervised_Learning'],[],[],['time'],[],[],[],[],[], *$* 
Saad,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,Uncovering the microseismic signals from noisy data for high-fidelity 3D source-location imaging using deep learning,Geophysics,['ANN'],['FC'],['Autoencoder'],"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",['Unsupervised_Learning'],[],[],[],[],[],[],[],[], *$* 
Feng,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,Multigranularity Feature Fusion Convolutional Neural Network for Seismic Data Denoising,IEEE-TGRS,['ANN'],['CNN'],[],"['?', '?', '?', '?', '?', '?']",['Supervised_Learning'],[],[],[],[],[],[],[],[], *$* 
Feng,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,Deep Convolutional Denoising Autoencoders with Network Structure Optimization for the High-Fidelity Attenuation of Random GPR Noise,Remote Sensing,['ANN'],['CNN'],['Autoencoders'],"['?', '?', '?', '?', '?', '?']",['Unsupervised_Learning'],[],[],[],[],[],[],[],[], *$* 
Zhao,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,A Natural Images Pre-Trained Deep Learning Method for Seismic Random Noise Attenuation,Remote Sensing,['ANN'],['CNN'],['U-Net'],"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",['Supervised_Learning'],[],[],[],[],[],[],[],[], *$* 
Li,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,Residual Learning of Cycle-GAN for Seismic Data Denoising,IEEE-Access,['ANN'],['CNN'],['GAN'],"[64, 64, 64, 64, 64, 64]",['Supervised_Learning'],[],[],[],[],[],[],[],[], *$* 
Saad,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,Self-Attention Deep Image Prior Network for Unsupervised 3-D Seismic Data Enhancement,IEEE-TGRS,['ANN'],['CNN'],"['Attention', 'U-Net']","[128, 64, 32, 16, 8, 4, 4, 8, 16, 32, 64, 128]",['Unsupervised_Learning'],[],[],[],[],[],[],[],[], *$* 
Yang,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'], ,Unsupervised 3-D Random Noise Attenuation Using Deep Skip Autoencoder,IEEE-TGRS,['ANN'],['CNN'],['U-Net'],"[128, 64, 32, 16, 8, 4, 4, 8, 16, 32, 64, 128]",['Unsupervised_Learning'],[],[],[],[],[],[],[],[], *$* 
Zhao,2019,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Low-Frequency Noise Suppression Method Based on Improved DnCNN in Desert Seismic Data, IEEE-GRSL,['ANN'],['CNN'],['DnCNN'],"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",['Supervised_Learning'],['waveform'],['waveform'],['time'],['semi-synthetic'],[170080],"['SNR', 'MSE']",[],"['band-pass filtering', 'DnCNN']",  * low-frequency * end-to-end * an improved feed-forward denoising convolution neural network (DnCNN) is proposed to suppress random noise in desert seismic data. DnCNN has the characteristics of automatic feature extraction and blind denoising. 
Zhao,2019,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Swell-noise attenuation: A deep learning approach,The Leading Edge,['ANN'],['CNN'],['ResNet'],"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",['Supervised_Learning'],[],[],['time'],['semi-synthetic'],[123],"['SNR', 'MSE']",[],[]," @@  * low-frequency * swell-noise, caused by long-period changes in the ocean surface, is a type of incoherent noise characterized by low frequencies and high-amplitude features. Due to the coherent features of swell noise, the rationale is to design a model with residual networks to learn and predict the swell noise rather than the clean image. model is trained to extract the swell noise rather than to attenuate it."
Dong,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Desert mixed seismic noise suppression by using multiple forward models and a supervised deep-learning method,EXPLORATION GEOPHYSICS,['ANN'],['CNN'],['DnCNN'],"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",['Supervised_Learning'],['waveform'],['waveform'],['time'],['semi-synthetic'],[10000],"['SNR', 'RMSE']",[],"['EMD', 'wavelet transform']","  * low-frequency * end-to-end * CNN usually needs a large amount of ideal noise-free data to complete network training, which largely limits its applications to seismic data denoising. In this paper, we combine forward modelling with CNN to overcome this technical problem. Specifically, we construct multiple forward models from different physical parameters to obtain a noise-free seismic dataset by finite difference method. After adding noise data taken from a real desert noise record, we use the above data as the input for CNN training."
Dong,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,New suppression technology for low-frequency noise in desert region: The improved robust principal component analysis based on prediction of neural network,IEEE-TGRS,['ANN'],"['CNN', 'FC']",['DnCNN'],"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 100, 8]",['Supervised_Learning'],[],[],['PCA'],['semi-synthetic'],[10000],"['SNR', 'RMSE']",[],"['RPCA', 'f-x', 'wavelet transform']",  * low-frequency * combining DL with traditional * the convolutional neural network (CNN) is used to extract effective signals from decomposed signal and noise components by the traditional method of robust principal component analysis
Kaur,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Seismic ground-roll noise attenuation using deep learning,Geophysical Prospecting,['ANN'],['CNN'],['GAN'],"[32, 64, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 64, 32]",['Unsupervised_Learning'],[],[],['time-frequency'],[],[],[],[],[], @@  * low-frequency * ground-roll * Create training labels using local time–frequency transform and regularized non-stationary regression. The basic idea is to train the network using a few shot gathers such that the network can learn the weights associated with noise attenuation for the training shot gathers. This approach gives results similar to local time–frequency transform and regularized non-stationary regression but at a significantly reduced computational cost
Li,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Desert seismic signal denoising based on Multi-scale Dilated Convolution Block,Computers & Geosciences-XX,['ANN'],['CNN'],[],"[16, 48, 48, 48, 48, 48, 48]",['Supervised_Learning'],[],[],['time'],['synthetic'],[],[],[],[],  * proposed a model based on Multi-scale Dilated Convolution Network(MDCN) to remove desert seismic noise.
Li,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,The Denoising of Desert Seismic Data Based on Cycle-GAN with Unpaired Data Training,IEEE-GRSL,['ANN'],['CNN'],['GAN'],"['?', '?', '?', '?', '?']",['Unsupervised_Learning'],[],[],['time'],['semi-synthetic'],[5000],"['SNR', 'MSE']",[],"['band-pass filter', 'wavelet transform', 'rank-reduction']"," @@  * low-frequency * end-to-end * desert-noise * is an unsupervised learning-based method. It can learn the domain mapping from noisy data domain to effective signal data domain through unpaired data training. Instead of paired data, the two domains of clean seismic data and noisy seismic data are needed to train the Cycle-GAN, so as to achieve the domain conversion from noisy data to clean data. The performance is better than traditional methods for very low SNR cases "
Ma,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Deep Residual Encoder–Decoder Networks for Desert Seismic Noise Suppression,IEEE-GRSL,['ANN'],['CNN'],[],"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",['Supervised_Learning'],[],[],[],['field'],[30000],"['SNR', 'MSE']",[],[],"  * low-frequency * end-to-end * Combining the RedNet model and DnCNN’s denoising idea of residual learning, we applied the network to the denoising of desert seismic data"
Oliveira,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Self-Supervised Ground-Roll Noise Attenuation Using Self-Labeling and Paired Data Synthesis,IEEE-TGRS,['ANN'],['CNN'],"['GAN', 'U-Net']","[64, 128, 256, 512, 512, 512, 512, 512, 256, 128, 64, 64, 128, 128, 256, 256, 512, 512, 512]","['Supervised_Learning', 'Self-Supervised_Learning']",[],[],['time'],[],[],"['F1', 'F3']",[],[]," @@  * low-frequency * ground-roll * the training is supervised but the whole pipline does not require the manual labeling * consisted of two stages. First, the ground-roll-affected area are detected using a modifie U-Net segmentation network applied to individual seismic traces, and then, only noise in the affected area is filtered using conditional-GANs. For training these two supervised networks without a need for explicit labeling, some approaches are proposed to automatically create paired training data out of original shot gathers affected by ground-roll noise. "
Wang,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Multi-Scale DCFF Network: A New Desert Low-Frequency Noise Suppression Method,IEEE-TGRS,['ANN'],['CNN'],['GAN'],"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 6, 128, 256, 1024]",['Supervised_Learning'],['waveform'],['waveform'],['time'],['semi-synthetic'],[],[],[],"['band-pass filtering', 'f-x domain prediction filtering', 'DnCNN']",  * low-frequency * 
You,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Attenuation of seismic swell noise using convolutional neural networks in frequency domain and Transfer_Learning,Interpretation,['ANN'],['CNN'],"['SegNet', 'ResNet', 'DenseNet']","[32, 64, 128, 256, 512]","['Supervised_Learning', 'Transfer_Learning']",['absolute value of STFT coefficients'],['absolute value of STFT coefficients'],['time-frequency'],[],[5760],"['SSIM (the structural similarity)', 'RMS', 'PS/N (peak signal-to-noise ratio)']",[],"['EMD', 'band-pass filetering', 'SVD']", @@  * low-frequency * end-to-end * swell-noise * employ the deep CNN technique to suppress swell noises using the short-time Fourier transform (STFT).
Yuan,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Ground-roll attenuation using generative adversarial networks,Geophysics,['ANN'],['CNN'],"['U-Net', 'GAN']","[1024, 512, 256, 128, 64, 32, 16, 32, 64, 128, 256, 512, 1024]",['Supervised_Learning'],['waveform'],['waveform'],['time'],['synthetic'],[2000],"['PSNR', 'MSE', 'SSIM']",[],"['f-x filtering', 'AGRA', 'S transform']","  * low-frequency * end-to-end * ground-roll * developed a generative adversarial network (GAN) to attenuate ground roll in seismic data. Unlike traditional methods for ground-roll attenuation dependent on various filters, the GAN method is based on a large training data set that includes pairs of data with and without ground roll."
Zhao,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Denoising of seismic data in desert environment based on a variational mode decomposition and a convolutional neural network,GJI,['ANN'],['CNN'],['DnCNN'],"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 15]",['Supervised_Learning'],[],[],[],['synthetic'],[29000],"['SNR', 'MSE']",[],[],"  * low-frequency * combine traditional method with deep learning * the network first decomposes the seismic data into modes with specific direction and oscillating characteristics using variational mode decomposition (VMD), and then uses CNN to implement the denoising and reconstruction of each mode"
Zhao,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Low-frequency desert noise intelligent suppression in seismic data based on multiscale geometric analysis convolutional neural network,IEEE-TGRS,['ANN'],['CNN'],['DnCNN'],"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 15]",['Supervised_Learning'],['15-channel noisy NSCT coefficient'],['15-channel noisy NSCT coefficient of signal'],['contourlet transform'],['synthetic'],[14000],"['SNR', 'MSE']",[],[],  * Low-Frequency * combining tradional methods and DL * Combines the DL and multiscale geometric analysis. Uses a CNN for a threshold-free attenuation of the coefficients associated with noise at multi-scale representation of the seismic data obtained by nonsubsampled contourlet transform (NSCT). This basically adds to the sparsity of the  representation in the NSCT domain.
Li,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,"['Seismic Denoising', 'Seismic Deblending']",Low_Frequency,The Application of Semisupervised Attentional Generative Adversarial Networks in Desert Seismic Data Denoising,IEEE-GRSL,['ANN'],"['CNN', 'FC']","['GAN', 'Attention']","[64, 128, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 512, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 128, 64]",['Semi-Supervised_Learning'],[],[],[],['synthetic'],[5000],"['SNR', 'MSE']",[],"['wavelet transform', 'F-X deconvolution', 'DnCNN']",  * low-frequency * end-to-end * 
Li,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Multi-Scale DCFF Network: A New Desert Low-Frequency Noise Suppression Method,Acta Geodaetica et Geophysica,['ANN'],['CNN'],[],"[64, 64, 128, 128, 64]",['Supervised_Learning'],['waveform'],['waveform'],['time'],"['semi-synthetic', 'synthetic']",[23801],[],[],"['band-pass filtering', 'f-x domain prediction filtering', 'DnCNN']"," * low-frequency * a new multi-scale dense connection feature fusion (MS-DCFF) denoising convolution neural network is presented in this paper. It can adaptively learn the potential features of effective signals through multi-scale feature fusion technique and increase the information exchange degree between different layers. Moreover, we construct relatively complete training sets of effective signals and noise respectively to improve the feasibility of the network for desert noise suppression."
Li,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Parameter-shared variational auto-encoding adversarial network for desert seismic data denoising in Northwest China,Journal of Applied Geophysics,['ANN'],['CNN'],[],"[64, 64, 128, 256, 256, 256, 256, 256]",['Supervised_Learning'],['waveform'],['waveform'],['time'],"['semi-synthetic', 'synthetic']",[],[],[],[], *$* * low-frequency
Zhang,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Low-frequency Seismic Noise Reduction based on Deep Complex Reaction-Diffusion Model,IEEE-TGRS,['ANN'],['CNN'],[],"['?', '?', '?', '?', '?', '?']",['Supervised_Learning'],[],[],[],['synthetic'],[15600],"['SNR', 'MSE']",[],"['Curvelet', 'FK', 'CSD', 'B-CNN']"," @@  * low-frequency * desert-noie * combining DL and traditional denoising *  Combined deep-learning with a mathematical denoising method (i.e. the complex shock diffusion). In this approach a learnable parameter (i.e. reaction term) is added to the mathematical model and it is learned from data using a CNN. The advantage of such a hybrid approach is that even when the statistics of the noise in the target data differs from the training data set, it can still be compensated by adjustable parameters of the mathematical model and lead to a  more effective signal preservation. "
Pham,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],Low_Frequency,Physics-constrained deep learning for ground roll attenuation,Geophysics,['ANN'],['CNN'],[],"[16, 16, 32, 32, 64, 64, 32, 32, 16, 16, 16, 16]",['Supervised_Learning'],[],[],[],[],[],[],[],[], *$* 
Dong,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],DAS,Denoising the Optical Fiber Seismic Data by Using Convolutional Adversarial Network Based on Loss Balance,IEEE-TGRS,['ANN'],['CNN'],['GAN'],"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",['Supervised_Learning'],['2D Patches'],['2D Patches'],['time'],['semi-synthetic'],[10000],"['SNR', 'RMSE']",[],[]," @@  * DAS * the noise caused by the inferior coupling.  propose a convolutional adversarial denoising network (CADN) based on the basic strategy of generative adversarial network (GAN) and the usage of a denoiser to replace the original generator in GAN. In CADN, the performance of denoiser is significant strengthened via its own mean square error (MSE) loss and the adversarial loss between it and the discriminator. To balance the two losses and thus ensure the optimization of denoiser, we construct a novel loss function, where the optimal ratio of MSE and adversarial losses is determined by quantifying the denoising performance."
Zhao,2020,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],DAS,Distributed Acoustic Sensing Vertical Seismic Profile Data Denoiser Based on Convolutional Neural Network,IEEE-TGRS,['ANN'],['CNN'],['DnCNN'],"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",['Supervised_Learning'],[],[],['time'],['synthetic'],[30000],['SNR'],[],[]," @@  * DAS * end-to-end * can suppress a variety of common noise at one time, and the denoising process is more convenient and efficient"
Feng,2021,Data Processing Automation,Active Seismology,Seismic Image Processing,['Seismic Denoising'],DAS,Denoising Deep Learning Network Based on Singular Spectrum Analysis—DAS Seismic Data Denoising with Multichannel SVDDCNN,IEEE-TGRS,['ANN'],['CNN'],[],"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",['Supervised_Learning'],['2D Patches'],['2D Patches'],['singular specra'],['synthetic'],[16000],[],[],"['SVD', 'DnCNN']"," @@  * DAS * residual-learning * combines singular value decompositin and DL * Combined deep neural networks and singular spectrum decomposition. instead of learning the time domain features by the original CNNs, the proposed network can extract the features in the singular spectra, and these features can reflect the geophysical features and structure features of seismic signal that contribute to distinguish signal from noise. Second, the multichannel layer is equal to simultaneously inputting different records with different SNRs for subsequence training, which can improve the generalization ability of the network."
